Date;Comp;Score
24.03.2004;GVHR;0.7765567296050424 
24.03.2004;DFODQ;0.7691566273871352 
24.03.2004;LII;0.7676598749838734 
24.03.2004;PRMW;0.7663560735000455 
24.03.2004;JEF;0.7610897712259728 
24.03.2004;TTC;0.760657145624227 
24.03.2004;AOS;0.7602688633011871 
24.03.2004;SIAL;0.7556807797854851 
24.03.2004;NKE;0.7470445443989657 
24.03.2004;ZQKSQ;0.7456217994781834 
24.03.2004;UBA;0.7411224143460022 
24.03.2004;HSC;0.7400983079866145 
24.03.2004;NUS;0.7400239037859698 
24.03.2004;MIDD;0.7376523006176916 
24.03.2004;ESE;0.7321146012687779 
24.03.2004;SSD;0.7269115017280945 
24.03.2004;APA;0.726178412467714 
24.03.2004;HPOL;0.7258679631257132 
24.03.2004;HSIC;0.7189069350061369 
24.03.2004;CHTT;0.7148672412821045 
24.03.2004;AWR;0.7146343459032338 
24.03.2004;ED;0.7140234550142968 
24.03.2004;SJT;0.7100675343416504 
24.03.2004;DHI;0.7091713466310932 
24.03.2004;STK.XX1;0.7049204999978514 
24.03.2004;MTSC;0.7014352678117606 
24.03.2004;UNS;0.6992180986801998 
24.03.2004;CAT;0.6984537177380865 
24.03.2004;RCRC;0.6949666432064465 
24.03.2004;NL;0.6899507932554191 
24.03.2004;WLP.XX9;0.6836387350931927 
24.03.2004;CHH;0.6816737639265349 
24.03.2004;NEWCQ;0.6805207342287812 
24.03.2004;SRCL;0.6797395450739342 
24.03.2004;HUBB;0.6790767241947947 
24.03.2004;TJX;0.6757052237799726 
24.03.2004;HDLM;0.6736573975313925 
24.03.2004;SYNT;0.6709956105882343 
24.03.2004;HAR;0.6688450278793527 
24.03.2004;HGTXU;0.6679193727377627 
24.03.2004;AEE;0.6653612145077918 
24.03.2004;OSK;0.6629057701105228 
07.04.2004;SHW;0.9484413703941127 
07.04.2004;INT;0.9374423390111302 
07.04.2004;WWW;0.926180295155237 
07.04.2004;JH;0.9188012832669561 
07.04.2004;SUN.XX1;0.9179800368607576 
07.04.2004;AME;0.9092059184514393 
07.04.2004;MFA;0.8882745907623985 
07.04.2004;MGEE;0.8866614117070939 
07.04.2004;POG;0.8783231217400409 
07.04.2004;STAR.XX9;0.8777881408846258 
07.04.2004;PCAR;0.8774432871943764 
07.04.2004;NJR;0.8764220285180808 
07.04.2004;SRE;0.8743174437183661 
07.04.2004;JCI.XX1;0.8724732311352903 
07.04.2004;GFF;0.8536514897747737 
07.04.2004;HUBB;0.8527271734158881 
07.04.2004;DLX;0.8526793631359469 
07.04.2004;ENB;0.850601607339786 
07.04.2004;BEAM.XX3;0.8466454599020943 
07.04.2004;FRK;0.8437058855013229 
07.04.2004;HSY;0.8405201478613256 
07.04.2004;KSWS;0.8317470020284004 
07.04.2004;GVHR;0.823002957071516 
07.04.2004;STR;0.8183169475925802 
07.04.2004;PENN;0.8177899489851777 
07.04.2004;BDG.A;0.8121491247985566 
07.04.2004;INGR;0.8117270742313939 
07.04.2004;NXGN;0.8103513562574889 
07.04.2004;SSNC.XX1;0.809110668612676 
07.04.2004;BRL.XX1;0.8084952574802846 
07.04.2004;UVV;0.8072622434582125 
07.04.2004;BXG.XX1;0.806852988062595 
07.04.2004;LM;0.8065700397785515 
07.04.2004;CAT;0.8037681489014284 
07.04.2004;SIAL;0.7994419368612679 
07.04.2004;GGP;0.7965321917027504 
07.04.2004;AVID;0.7941370756563372 
07.04.2004;HSC;0.7937444800893718 
07.04.2004;BMS;0.7933048612211772 
07.04.2004;TTC;0.7928931333705144 
07.04.2004;PSUNQ;0.7922556737569241 
07.04.2004;IFF;0.7919089868155406 
07.04.2004;CACH;0.7915285142700829 
07.04.2004;LII;0.7911337278687981 
07.04.2004;ARLP;0.7854576013158787 
07.04.2004;CTX.XX1;0.7853256946664804 
07.04.2004;NKE;0.785157237469843 
07.04.2004;KBH;0.7850856017602674 
07.04.2004;CBRL;0.7847714282939031 
07.04.2004;MATX;0.7808692055001187 
07.04.2004;RCI.XX11;0.7751299293488787 
07.04.2004;AN;0.7734302073018015 
07.04.2004;CHG.XX10;0.7721756287753632 
07.04.2004;MGRC;0.7696205017018501 
07.04.2004;RCRC;0.767679119480164 
07.04.2004;BDG.XX9;0.7669955272212909 
07.04.2004;LC.XX1;0.7648635205882515 
07.04.2004;BGGSQ;0.7642615873611466 
07.04.2004;GAS;0.7622467992796114 
07.04.2004;RARE.XX1;0.7595425343909914 
07.04.2004;MDP;0.7591193633827709 
07.04.2004;LSTR;0.7569324053410487 
07.04.2004;CHKAQ;0.7561739461247853 
07.04.2004;SSD;0.7557438901493767 
07.04.2004;ROK;0.7548173892079383 
07.04.2004;HUB.A;0.7484230022692366 
07.04.2004;ZQKSQ;0.7462659948264472 
07.04.2004;GXP;0.7449046555578211 
07.04.2004;GTK;0.7420982342679748 
07.04.2004;FOSL;0.7366085395582668 
07.04.2004;WRLD;0.7359119199648312 
07.04.2004;UNS;0.7325628123332147 
07.04.2004;ESE;0.7286939770754326 
07.04.2004;GTRC;0.7227104811122509 
07.04.2004;MTH;0.7148478242970083 
07.04.2004;NTY;0.7057201801269508 
07.04.2004;MTSC;0.7028065314590197 
07.04.2004;CHTT;0.7006154484736495 
07.04.2004;EXPD;0.6994150918016848 
07.04.2004;BLK;0.6976635590109547 
21.04.2004;UVV;0.9535907230671762 
21.04.2004;SHW;0.9480906572628139 
21.04.2004;INT;0.929843456132963 
21.04.2004;WWW;0.923753740950432 
21.04.2004;JH;0.9210946060149041 
21.04.2004;SUN.XX1;0.9210117888648104 
21.04.2004;AME;0.9060004508739554 
21.04.2004;POG;0.899571962412859 
21.04.2004;STAR.XX9;0.8789761480284103 
21.04.2004;PVAHQ;0.8789173242443634 
21.04.2004;NJR;0.8777455462687761 
21.04.2004;JCI.XX1;0.8735419734780439 
21.04.2004;SRE;0.8712702337321458 
21.04.2004;ENB;0.8513424422691067 
21.04.2004;DLX;0.8478992460396214 
21.04.2004;FRK;0.8473788396416773 
21.04.2004;HSY;0.844670097159682 
21.04.2004;BEAM.XX3;0.841429683808657 
21.04.2004;PETM;0.8392691393545335 
21.04.2004;PCAR;0.8322966537985784 
21.04.2004;BDG.A;0.8321808375614794 
21.04.2004;KSWS;0.8319303060526662 
21.04.2004;HUBB;0.8299380322994547 
21.04.2004;ROST;0.8298734049446095 
21.04.2004;INGR;0.8261774287754093 
21.04.2004;CLE;0.8250882710231344 
21.04.2004;LM;0.8239342734525972 
21.04.2004;STR;0.8232542060342191 
21.04.2004;GVHR;0.8231336888313838 
21.04.2004;PENN;0.8157638585480781 
21.04.2004;HSC;0.8114082164248705 
21.04.2004;BMS;0.8100237233778107 
21.04.2004;SSNC.XX1;0.8071457701742513 
21.04.2004;GGP;0.8065275765753739 
21.04.2004;TTC;0.8017927006267916 
21.04.2004;BXG.XX1;0.8016162894133018 
21.04.2004;SIAL;0.8002896851773579 
21.04.2004;GFF;0.7986460184168054 
21.04.2004;CTX.XX1;0.7934757209591121 
21.04.2004;BDG.XX9;0.7925559688143484 
21.04.2004;CACH;0.7910515954483186 
21.04.2004;PSUNQ;0.7894571001694266 
21.04.2004;MGRC;0.7878225364099858 
21.04.2004;HNI;0.7846823503627547 
21.04.2004;BGGSQ;0.7823031461753012 
21.04.2004;BRL.XX1;0.7808253484654495 
21.04.2004;ARLP;0.7807673662803 
21.04.2004;MHM.XX1;0.7805872293170665 
21.04.2004;AVID;0.7802763401615483 
21.04.2004;CBRL;0.7790298897115115 
21.04.2004;UNS;0.7755158889779369 
21.04.2004;AN;0.7715112880806814 
21.04.2004;CHG.XX10;0.770922629233195 
21.04.2004;KBH;0.7699800370061122 
21.04.2004;IFF;0.7694926103941813 
21.04.2004;SSD;0.767182575208904 
21.04.2004;CHKAQ;0.7670612567852827 
21.04.2004;RARE.XX1;0.7664921398910762 
21.04.2004;GAS;0.764649393404343 
21.04.2004;MATX;0.7625560211492354 
21.04.2004;RCRC;0.7607112774296974 
21.04.2004;LSTR;0.7585588685000054 
21.04.2004;LC.XX1;0.7579709358396319 
21.04.2004;MDP;0.7575331856916925 
21.04.2004;ROK;0.7475727101921482 
21.04.2004;HUB.A;0.7408963115748747 
21.04.2004;ZQKSQ;0.7352631371475379 
21.04.2004;FOSL;0.7328034815535802 
21.04.2004;MFA;0.7300533368854991 
21.04.2004;WRLD;0.7299060365306771 
21.04.2004;HIBB;0.7260884784104503 
21.04.2004;GTK;0.724353596418493 
21.04.2004;ESE;0.7200358480088982 
21.04.2004;GTRC;0.7167159349768593 
21.04.2004;MTH;0.7154467791102059 
21.04.2004;EXP;0.7146064240365846 
21.04.2004;GYMB;0.7100987258278102 
21.04.2004;HDLM;0.7037403572991486 
21.04.2004;MTSC;0.7032971080494957 
21.04.2004;BLK;0.7001111802832872 
05.05.2004;SRE;0.9638862257261054 
05.05.2004;UVV;0.9549392392196046 
05.05.2004;SHW;0.9479587599197662 
05.05.2004;AME;0.9057366199159546 
05.05.2004;MATX;0.8945945302308178 
05.05.2004;INT;0.8923450064697486 
05.05.2004;MFA;0.8793420865986321 
